main_activity,clustered,tilt_subsector
service provider,lorry loading-unloading,Other Transport
service provider,logistics outsourcing,Other Transport
service provider,goods stored in warehouses,Other Transport
service provider,cargo warehousing,Other Transport
service provider,goods inventory management,Other Transport
service provider,goods storage,Other Transport
service provider,cannes transfers from nice,Other Transport
service provider,cannes taxi transfers,Other Transport
service provider,airport shuttle,Other Transport
service provider,tank washing,Other Transport
manufacturer/ producer,tank washing,Other Transport
service provider,private driver,Other Transport
service provider,maxicab from paris,Other Transport
service provider,passenger transport by tourist,Other Transport
service provider,seasonal buses,Other Transport
service provider,saloon car hire service with driver,Other Transport
service provider,deluxe coaches,Other Transport
missing,deluxe coaches,Other Transport
service provider,motor vehicles fitted out for transporting animals,Other Transport
service provider,urgent deliveries,Other Transport
distributor,urgent deliveries,Other Transport
service provider,pallets delivered,Other Transport
service provider,parcel delivery service,Other Transport
service provider,truck rental with driver for do-it-yourself moves,Other Transport
service provider,goods collected,Other Transport
service provider,goods delivered,Other Transport
service provider,relocation service,Other Transport
service provider,machine tool transport,Other Transport
subcontractor,machine tool transport,Machinery & Equipment
service provider,removal of machine tools,Other Transport
service provider,transport management,Other Transport
service provider,trucks for industrial transport,Other Transport
service provider,transport france,Other Transport
service provider,transport paris region,Other Transport
service provider,express parcels,Other Transport
service provider,parcel shipment,Other Transport
manufacturer/ producer,parcel shipment,Other Transport
service provider,regional transport,Other Transport
service provider,international express transport,Other Transport
service provider,messengers,Other Transport
service provider,light transport services,Other Transport
service provider,small transport,Other Transport
service provider,product collection,Other Transport
service provider,product return,Other Transport
service provider,road freight,Other Transport
service provider,express goods delivery,Other Transport
service provider,lorry rental with driver,Other Transport
service provider,road removals,Other Transport
service provider,removals of fragile items,Other Transport
service provider,storage solutions,Other Transport
service provider,road collection of packages,Other Transport
service provider,road collection of parcels,Other Transport
service provider,road collection of letters,Other Transport
service provider,parcel,Other Transport
service provider,vtc véhicule de tourisme avec chauffeur,Other Transport
service provider,chauffeur,Other Transport
service provider,voiture avec chauffeur,Other Transport
service provider,b2c e-commerce solution,Other Transport
service provider,courchevel transfer,Other Transport
service provider,meribel transfer,Other Transport
service provider,geneva courchevel transfer,Other Transport
service provider,geneva to courchevel,Other Transport
service provider,vip transfer,Other Transport
service provider,frozen fresh dry,Other Transport
service provider,national carrier,Other Transport
service provider,international carrier,Other Transport
service provider,organisation of international transport,Other Transport
service provider,paris airport transfers,Other Transport
service provider,paris airport shuttle,Other Transport
service provider,charles de gaulle taxi,Other Transport
service provider,geneva,Other Transport
retailer,geneva,Other Transport
service provider,ambulances,Other Transport
service provider,research water supply sector,Other Transport
service provider,development water supply sector,Other Transport
service provider,development transport sector,Other Transport
missing,business hotel,Machinery & Equipment
service provider,package delivery,Other Transport
service provider,national removals,Other Transport
service provider,express parcel delivery service,Other Transport
service provider,night delivery,Other Transport
service provider,health care,Other Transport
manufacturer/ producer,health care,Fishing & Forestry
service provider,transport of organs,Other Transport
service provider,hazardous goods transport,Other Transport
service provider,renting cars with ac and driver,Other Transport
missing,limousine rental,Other Transport
service provider,headhunting office,Other Transport
service provider,taxis with service for disabled,Other Transport
missing,roadside assistance,Other Transport
manufacturer/ producer,roadside assistance,Other Transport
service provider,logistics platform,Other Transport
missing,logistics platform,Food Related Products
service provider,industrial conveyor chains,Other Transport
service provider,porters,Other Transport
service provider,container trucking,Other Transport
service provider,medical transport,Other Transport
missing,medical transport,Other Transport
service provider,subcontract packing,Other Transport
service provider,road hauliers,Other Transport
service provider,cisterns,Other Transport
service provider,stock management,Other Transport
distributor,stock management,Other Transport
service provider,deposit,Other Transport
service provider,loading of goods,Other Transport
service provider,unloading of goods,Other Transport
service provider,roller transport,Other Transport
